model,feature,importance
Ridge Regression,B15003_010E,0.005642408117114779
Ridge Regression,B02001_003E,0.005406024894045096
Ridge Regression,black_population,0.005406024893961626
Ridge Regression,B01001_034E,0.005132569628256073
Ridge Regression,B15003_003E,0.004981242220086362
Ridge Regression,B17001_056E,0.004905960228080244
Ridge Regression,B17001_003E,0.004748305713485822
Ridge Regression,B01001_039E,0.003856467038280815
Ridge Regression,B17001_015E,0.00365208520173438
Ridge Regression,B17001_008E,0.0032965556146901604
Ridge Regression,B01001_001E,0.003181035357208696
Ridge Regression,B02001_001E,0.0031810353571903407
Ridge Regression,total_population,0.003181035356779676
Ridge Regression,B01001_032E,0.003033047991034478
Ridge Regression,B17001_045E,0.002684540849851367
Ridge Regression,B17001_033E,0.002640063521630646
Ridge Regression,B15003_025E,0.002464039081533571
Ridge Regression,doctorate_degree,0.0024640390813949913
Ridge Regression,B02001_004E,0.0022926236484486157
Ridge Regression,B17001_029E,0.0022036306954483094
Ridge Regression,B17001_005E,0.0022031130778231937
Ridge Regression,B01001_040E,0.0021489912171915896
Ridge Regression,B01001_015E,0.00199216866724207
Ridge Regression,B02001_005E,0.001990096553864637
Ridge Regression,asian_population,0.001990096553716242
Ridge Regression,B17001_048E,0.0019627389276328706
Ridge Regression,B17001_034E,0.0018828264125110925
Ridge Regression,B01001_017E,0.0018567549543433693
Ridge Regression,B15003_008E,0.00184237618212842
Ridge Regression,below_poverty,0.0016943086489475917
Ridge Regression,B17001_002E,0.0016943086487487679
Ridge Regression,B23025_001E,0.0015328899397149829
Ridge Regression,B17001_009E,0.001201461258810241
Ridge Regression,B01001_008E,0.001167813402258683
Ridge Regression,B15003_016E,0.0010173529736167088
Ridge Regression,B02001_006E,0.0008956294364202242
Ridge Regression,median_income,0.0008924933938347033
Ridge Regression,B19013_001E,0.0008924933938056355
Ridge Regression,B15003_001E,0.0008849357789786071
Ridge Regression,B17001_043E,0.0006367858658885152
Ridge Regression,B02001_002E,0.0005680090317324484
Ridge Regression,white_population,0.0005680090313980395
Decision Tree Regressor,doctorate_degree,0.38497472158181023
Decision Tree Regressor,white_pct,0.30071618423186525
Decision Tree Regressor,B15003_024E,0.11203354243446012
Decision Tree Regressor,higher_education_rate,0.09818143956143563
Decision Tree Regressor,B15003_025E,0.04247704889615798
Decision Tree Regressor,B23025_007E,0.026265279952936232
Decision Tree Regressor,poverty_rate,0.006056211981599472
Decision Tree Regressor,B15003_011E,0.0052493752952950485
