county_fips,state,county_name,party_winner,dem_vote_share,kmeans_cluster,agglomerative_cluster,pca_1,pca_2
21147,KENTUCKY,MCCREARY,0,0.1126651126651126,2,2,-2.922758992170098,0.8080581531574632
21149,KENTUCKY,MCLEAN,0,0.2245922208281054,0,2,-0.16857318449081118,1.4063282735231333
21151,KENTUCKY,MADISON,0,0.3548732432863358,0,2,0.0875638752663156,-0.1793810202010377
21153,KENTUCKY,MAGOFFIN,0,0.2227322805728975,2,2,-3.340277212263746,0.9523818476912398
21155,KENTUCKY,MARION,0,0.3048835125448029,0,2,-1.5967375248143243,0.6081051808757423
21157,KENTUCKY,MARSHALL,0,0.2312936764956536,0,2,0.9318591115490401,1.0674607368162528
21159,KENTUCKY,MARTIN,0,0.1025445292620865,0,2,-1.175194939534619,1.2655279519028635
21161,KENTUCKY,MASON,0,0.2968082432772053,0,2,-0.35516992392333785,0.7368515601104033
21163,KENTUCKY,MEADE,0,0.2574060949681077,0,2,0.44915047940801983,0.6434151314563429
21165,KENTUCKY,MENIFEE,0,0.241779497098646,0,2,-0.9962083047717669,1.7609876840195267
21167,KENTUCKY,MERCER,0,0.2584576054537708,0,2,-0.08220174107185807,0.7427219553527904
21169,KENTUCKY,METCALFE,0,0.1945331205107741,0,2,-1.0957012661174168,1.6467799791122568
21171,KENTUCKY,MONROE,0,0.123264540337711,0,2,-1.4900393113625454,1.6102560987357153
21173,KENTUCKY,MONTGOMERY,0,0.2827763496143959,0,2,-0.6523904762918619,0.9896756444056142
21175,KENTUCKY,MORGAN,0,0.211743450767841,0,2,-1.1515443022667446,1.1847078385950958
21177,KENTUCKY,MUHLENBERG,0,0.2490688031484995,0,2,-0.392261118019998,0.8455668897578036
21179,KENTUCKY,NELSON,0,0.3092277909227791,0,2,1.133644114739991,0.6824561278554734
21181,KENTUCKY,NICHOLAS,0,0.2812131919905771,0,2,-1.3214911868095585,1.68648229957674
21183,KENTUCKY,OHIO,0,0.216051047002786,0,2,-0.6247178927128477,1.2545902671038773
21185,KENTUCKY,OLDHAM,0,0.3823281315900464,1,0,3.740978424277443,-0.7897957832656073
21187,KENTUCKY,OWEN,0,0.2012463343108504,0,2,-0.39434632890628996,1.42751966559944
21189,KENTUCKY,OWSLEY,0,0.1139841688654353,2,2,-3.129494358672431,1.0034909681027897
21191,KENTUCKY,PENDLETON,0,0.1909025270758122,0,2,-0.15021578321245813,1.247361575420404
21193,KENTUCKY,PERRY,0,0.2215726947011125,0,2,-1.5665584315295082,0.6326639048209461
21195,KENTUCKY,PIKE,0,0.1916587827183853,0,2,-1.8306669989526225,0.6908194992755106
21197,KENTUCKY,POWELL,0,0.2483197093551317,0,2,-1.0684272112303437,1.2998179747988776
21199,KENTUCKY,PULASKI,0,0.17959856676285,0,2,-1.0440682164787691,0.636305832360359
21201,KENTUCKY,ROBERTSON,0,0.2207678883071553,0,2,-1.7535534098273888,1.5551845473021233
21203,KENTUCKY,ROCKCASTLE,0,0.1457021713992033,0,2,-1.7856588018040487,1.0984302673321846
21205,KENTUCKY,ROWAN,0,0.3857625770530921,0,2,-0.7698517866230228,0.9334214145550196
21207,KENTUCKY,RUSSELL,0,0.1486743483611142,0,2,-1.2125527964009646,1.0200297503620641
21209,KENTUCKY,SCOTT,0,0.3649050086355785,0,0,1.6856229628506632,-0.01116038822838072
